,x,y,target
0,-20.186134338378906,11.131309509277344,1.0
1,-36.27519989013672,37.714962005615234,9.0
2,41.579368591308594,-17.24848747253418,8.0
3,-68.23863983154297,-16.06148910522461,4.0
4,72.25376892089844,-10.657413482666016,2.0
5,-41.67487335205078,53.713993072509766,9.0
6,2.113676071166992,-36.95250701904297,0.0
7,26.627347946166992,43.09253692626953,1.0
8,-8.24496078491211,54.46336364746094,3.0
9,45.53708267211914,-59.38530349731445,5.0
10,-42.6456413269043,30.902156829833984,9.0
11,67.13473510742188,18.63770866394043,2.0
12,61.92719650268555,23.277311325073242,1.0
13,49.79261779785156,26.67365837097168,7.0
14,-57.635231018066406,3.392972469329834,4.0
15,55.4459114074707,3.356945753097534,2.0
16,67.89144134521484,24.952730178833008,2.0
17,-46.789283752441406,-38.24217224121094,4.0
18,-32.5098991394043,-8.425553321838379,0.0
19,-63.15308380126953,-20.897937774658203,4.0
20,64.2459487915039,13.57191276550293,2.0
21,47.78499221801758,-51.21086120605469,5.0
22,-9.185929298400879,-73.19950103759766,6.0
23,41.71451187133789,-50.55884552001953,5.0
24,-14.67214584350586,-65.85770416259766,6.0
25,-30.522687911987305,-8.994328498840332,0.0
26,-49.468910217285156,-24.225061416625977,9.0
27,-22.163135528564453,-74.1473388671875,6.0
28,-60.998294830322266,-16.007749557495117,4.0
29,58.483184814453125,11.934347152709961,7.0
30,22.604846954345703,-24.544464111328125,5.0
31,-9.074935913085938,43.259429931640625,3.0
32,-56.720909118652344,28.476551055908203,9.0
33,-43.685787200927734,32.31419372558594,9.0
34,5.079679012298584,50.79158020019531,3.0
35,-0.3397364318370819,55.185546875,3.0
36,-68.27013397216797,-20.41497230529785,4.0
37,-63.40888595581055,-32.48474884033203,4.0
38,-62.51983642578125,-7.97804069519043,4.0
39,71.79560089111328,0.4936143457889557,2.0
40,44.260231018066406,23.13698387145996,7.0
41,41.53030776977539,-59.73596954345703,5.0
42,-40.436439514160156,25.85283660888672,9.0
43,64.41923522949219,22.19957733154297,8.0
44,67.02381896972656,20.087621688842773,2.0
45,-27.45505714416504,-48.55069351196289,6.0
46,-38.60660934448242,55.47154998779297,5.0
47,58.687557220458984,17.167407989501953,1.0
48,-36.54916000366211,39.49536895751953,9.0
49,-19.477886199951172,-15.40433406829834,0.0
50,-10.850388526916504,-72.80867004394531,6.0
51,63.0936279296875,23.423810958862305,1.0
52,45.89387512207031,-60.5386962890625,5.0
53,4.93668794631958,-47.088226318359375,0.0
54,-58.26211166381836,-29.914682388305664,4.0
55,-16.7542667388916,-56.3353385925293,6.0
56,-34.35432815551758,54.856754302978516,9.0
57,38.11145782470703,37.474456787109375,2.0
58,-13.085874557495117,46.564754486083984,3.0
59,2.927076816558838,-80.902099609375,6.0
60,-12.85421085357666,55.09675598144531,3.0
61,5.340946674346924,-23.329748153686523,8.0
62,-35.019344329833984,-57.344688415527344,4.0
63,-3.4761292934417725,39.495819091796875,3.0
64,41.682498931884766,-54.5645866394043,5.0
65,-57.91925048828125,28.684648513793945,9.0
66,-59.27098846435547,-23.265409469604492,4.0
67,2.419652223587036,-44.696964263916016,0.0
68,8.624282836914062,-37.825927734375,8.0
69,-65.52122497558594,-20.85765266418457,4.0
70,15.303915977478027,-24.174602508544922,8.0
71,-11.27888011932373,66.0144271850586,9.0
72,-11.000309944152832,-21.35478401184082,0.0
73,-66.7528305053711,-22.978837966918945,4.0
